0,117,0,0.0125,0.0159
1,70,0,0.03125,0.003109
2,2889,0,0.06873,0.01193
3,3108,0,0.06873,0.01193
4,833,0,0.009369,0.007767
5,85,0,0.009369,0.01128
6,303,0,0.006248,0.001554
7,408,0,0.03125,0.003109
8,778,0,0.0125,0.01088
9,223,0,0.03125,0.003109
10,289,1,0.03125,0.0318
11,7117,1,0.0625,0.0318
12,6909,1,0.0625,0.0318
13,9524,1,0.0625,0.0318
14,3764,1,0.0625,0.0318
15,5644,1,0.0625,0.0318
16,7020,1,0.0625,0.0318
17,11595,1,0.0625,0.0318
18,13467,1,0.0625,0.0318
19,11671,1,0.0625,0.0318
20,195,2,0.006248,0.01109
21,617,2,0.009369,0.04773
22,1161,2,0.03748,0.02545
23,1080,2,0.02499,0.03339
24,284,2,0.0278,0.002487
25,517,2,0.04376,0.0159
26,8311,2,0.04999,0.03979
27,2873,2,0.03125,0.0159
28,3056,2,0.0303,0.0159
29,43,2,0.09998,0.02069
30,114,0,0.0125,0.01489
31,486,2,0.02786,0.02704
32,5776,2,0.04999,0.03979
33,75,2,0.007843,0.002487
34,286,2,0.02499,0.02545
35,280,2,0.006248,0.01131
36,25125,1,0.0625,0.0318
37,74,2,0.006248,0.002487
38,442,2,0.02499,0.01706
39,1788,2,0.03748,0.02545
40,760,2,0.02499,0.02545
41,477,2,0.02499,0.03339
42,25,2,0.09998,0.02069
43,285,2,0.006248,0.002487
44,30,2,0.09998,0.02069
45,168,0,0.01562,0.00795
46,5617,1,0.0625,0.0318
47,646,2,0.009369,0.04773
48,181,2,0.02499,0.0119
49,592,2,0.006248,0.007103
50,259,2,0.02499,0.03339
51,365,2,0.02499,0.03339
52,9165,2,0.04999,0.03979
53,37,2,0.09998,0.02069
54,224,2,0.006248,0.01086
55,116,2,0.006248,0.002487
56,494,2,0.006248,0.007118
57,555,2,0.02795,0.02704
58,3801,2,0.02499,0.02533
59,1810,2,0.03748,0.03979
60,1107,2,0.03748,0.02545
61,123,0,0.0125,0.01587
62,1113,2,0.02499,0.02545
63,9016,2,0.04999,0.03979
64,27,2,0.006248,0.0318
65,1370,2,0.03748,0.02545
66,650,2,0.02499,0.03339
67,7048,2,0.04999,0.03979
68,312,2,0.0125,0.0318
69,24619,1,0.0625,0.0318
70,176,2,0.06873,0.009003
71,124,2,0.02499,0.03339
72,3433,2,0.02374,0.02545
73,11706,1,0.0625,0.0318
74,2892,2,0.03125,0.0159
75,383,0,0.009369,0.00222
76,271,2,0.0125,0.004662
77,263,0,0.006248,0.001554
78,301,2,0.006248,0.01109
79,189,2,0.006248,0.002487
80,532,2,0.03125,0.03076
81,6817,2,0.006248,0.01448
82,693,2,0.02499,0.02545
83,468,2,0.02499,0.01706
84,2212,2,0.125,0.07959
85,255,2,0.09998,0.02069
86,356,2,0.006248,0.01125
87,159,2,0.09998,0.02069
88,1257,2,0.03125,0.009323
89,92,2,0.03125,0.007767
90,848,2,0.006248,0.003666
91,104,2,0.06873,0.009537
92,82,2,0.006248,0.002487
93,2081,0,0.03748,0.1122
94,639,2,0.0625,0.0318
95,151,0,0.0125,0.002594
96,585,2,0.0625,0.0318
97,578,2,0.006248,0.007103
98,295,2,0.02499,0.02545
99,596,2,0.0625,0.0318
